关卡,关卡序号,关卡名称,配置序号,单位类型,单位名称,单位原生ID,数量,等级,AI类型,AI说明,标签,是否Boss,模板,生命倍率,攻击倍率,额外护甲,魔法抗性%,状态抗性%,Boss最大生命,Boss生命倍率,Boss攻击伤害+%,Boss额外护甲,Boss最终魔抗目标%,Boss魔抗乘算加成%,Boss法术增幅+%,Boss冷却减少%,装备数量,装备合计（中文）,装备合计（原生ID）,配置路径,装备1（中文）,装备1（原生ID）,装备2（中文）,装备2（原生ID）,装备3（中文）,装备3（原生ID）,装备4（中文）,装备4（原生ID）,装备5（中文）,装备5（原生ID）,装备6（中文）,装备6（原生ID）
ch19,19,第19关 · 英雄遭遇,3,英雄,痛苦女王,npc_dota_hero_queenofpain,1,23,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,动力鞋；散慧对剑；阿哈利姆神杖；黑皇杖；希瓦的守护；玲珑心,item_power_treads；item_kaya_and_sange；item_ultimate_scepter；item_black_king_bar；item_shivas_guard；item_octarine_core,levels/ch19/enemies/3,动力鞋,item_power_treads,散慧对剑,item_kaya_and_sange,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,希瓦的守护,item_shivas_guard,玲珑心,item_octarine_core
ch19,19,第19关 · 英雄遭遇,4,英雄,拉席克,npc_dota_hero_leshrac,1,23,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,奥术鞋；血精石；闪烁匕首；散慧对剑；黑皇杖；希瓦的守护,item_arcane_boots；item_bloodstone；item_blink；item_kaya_and_sange；item_black_king_bar；item_shivas_guard,levels/ch19/enemies/4,奥术鞋,item_arcane_boots,血精石,item_bloodstone,闪烁匕首,item_blink,散慧对剑,item_kaya_and_sange,黑皇杖,item_black_king_bar,希瓦的守护,item_shivas_guard
ch19,19,第19关 · 英雄遭遇,5,英雄,剧毒术士,npc_dota_hero_venomancer,1,23,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,奥术鞋；魂之灵瓮；原力法杖；微光披风；阿哈利姆神杖；希瓦的守护,item_arcane_boots；item_spirit_vessel；item_force_staff；item_glimmer_cape；item_ultimate_scepter；item_shivas_guard,levels/ch19/enemies/5,奥术鞋,item_arcane_boots,魂之灵瓮,item_spirit_vessel,原力法杖,item_force_staff,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,希瓦的守护,item_shivas_guard
ch20,20,第20关 · 章节 Boss,1,英雄,裂魂人,npc_dota_hero_spirit_breaker,1,24,aggro_front,前排近距攻击,boss,是,,,,,,,20000,,75,15,80,0,25,6.666667,6,白银之锋；阿哈利姆神杖；黑皇杖；玲珑心；银月之晶；银月之晶,item_silver_edge；item_ultimate_scepter；item_black_king_bar；item_octarine_core；item_moon_shard；item_moon_shard,levels/ch20/enemies/1,白银之锋,item_silver_edge,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,玲珑心,item_octarine_core,银月之晶,item_moon_shard,银月之晶,item_moon_shard
ch21,21,第21关 · 野怪讨伐,1,野怪,霜害傀儡,npc_dota_neutral_frostbitten_golem,3,26,simple_nearest,最近目标（野怪）,,否,standard,8.5,4.5,42,70,20,,,,,,,,,0,,,levels/ch21/enemies/1,,,,,,,,,,,,
ch21,21,第21关 · 野怪讨伐,2,野怪,寒冰萨满,npc_dota_neutral_ice_shaman,2,26,focus_lowest_hp,优先最低生命,,否,specialist,8.5,4.5,42,70,20,,,,,,,,,0,,,levels/ch21/enemies/2,,,,,,,,,,,,
ch21,21,第21关 · 野怪讨伐,3,野怪,花岗岩傀儡,npc_dota_neutral_granite_golem,2,26,aggro_front,前排近距攻击,,否,elite,8.5,4.5,42,70,20,,,,,,,,,0,,,levels/ch21/enemies/3,,,,,,,,,,,,
ch21,21,第21关 · 野怪讨伐,4,野怪,岚隐兽,npc_dota_neutral_small_thunder_lizard,1,26,simple_nearest,最近目标（野怪）,,否,minion,8.5,4.5,42,70,20,,,,,,,,,0,,,levels/ch21/enemies/4,,,,,,,,,,,,
ch22,22,第22关 · 英雄遭遇,1,英雄,亚巴顿,npc_dota_hero_abaddon,1,26,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,盛势闪光；辉耀；幻影斧；深渊之刃；强袭胸甲；鱼叉,item_overwhelming_blink；item_radiance；item_manta；item_abyssal_blade；item_assault；item_harpoon,levels/ch22/enemies/1,盛势闪光,item_overwhelming_blink,辉耀,item_radiance,幻影斧,item_manta,深渊之刃,item_abyssal_blade,强袭胸甲,item_assault,鱼叉,item_harpoon
ch22,22,第22关 · 英雄遭遇,2,英雄,狙击手,npc_dota_hero_sniper,1,26,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；雷神之锤；飓风长戟；黑皇杖；代达罗斯之殇；撒旦之邪力,item_swift_blink；item_mjollnir；item_hurricane_pike；item_black_king_bar；item_greater_crit；item_satanic,levels/ch22/enemies/2,迅疾闪光,item_swift_blink,雷神之锤,item_mjollnir,飓风长戟,item_hurricane_pike,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,撒旦之邪力,item_satanic
ch22,22,第22关 · 英雄遭遇,3,英雄,克林克兹,npc_dota_hero_clinkz,1,26,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；黯灭；飓风长戟；黑皇杖；代达罗斯之殇；阿哈利姆神杖,item_swift_blink；item_desolator；item_hurricane_pike；item_black_king_bar；item_greater_crit；item_ultimate_scepter,levels/ch22/enemies/3,迅疾闪光,item_swift_blink,黯灭,item_desolator,飓风长戟,item_hurricane_pike,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,阿哈利姆神杖,item_ultimate_scepter
ch22,22,第22关 · 英雄遭遇,4,英雄,幻影刺客,npc_dota_hero_phantom_assassin,1,26,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；黯灭；深渊之刃；黑皇杖；撒旦之邪力；否决坠饰,item_swift_blink；item_desolator；item_abyssal_blade；item_black_king_bar；item_satanic；item_nullifier,levels/ch22/enemies/4,迅疾闪光,item_swift_blink,黯灭,item_desolator,深渊之刃,item_abyssal_blade,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,否决坠饰,item_nullifier
ch22,22,第22关 · 英雄遭遇,5,英雄,天涯墨客,npc_dota_hero_grimstroke,1,26,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；秘奥闪光；玲珑心；微光披风；阿哈利姆神杖；邪恶镰刀,item_boots_of_bearing；item_arcane_blink；item_octarine_core；item_glimmer_cape；item_ultimate_scepter；item_sheepstick,levels/ch22/enemies/5,宽容之靴,item_boots_of_bearing,秘奥闪光,item_arcane_blink,玲珑心,item_octarine_core,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,邪恶镰刀,item_sheepstick
ch22,22,第22关 · 英雄遭遇,6,英雄,暗影恶魔,npc_dota_hero_shadow_demon,1,26,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；秘奥闪光；玲珑心；微光披风；阿哈利姆神杖；永恒之盘,item_boots_of_bearing；item_arcane_blink；item_octarine_core；item_glimmer_cape；item_ultimate_scepter；item_aeon_disk,levels/ch22/enemies/6,宽容之靴,item_boots_of_bearing,秘奥闪光,item_arcane_blink,玲珑心,item_octarine_core,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,永恒之盘,item_aeon_disk
ch23,23,第23关 · 英雄遭遇,1,英雄,全能骑士,npc_dota_hero_omniknight,1,27,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,卫士胫甲；清莲宝珠；洞察烟斗；阿哈利姆神杖；玲珑心；邪恶镰刀,item_guardian_greaves；item_lotus_orb；item_pipe；item_ultimate_scepter；item_octarine_core；item_sheepstick,levels/ch23/enemies/1,卫士胫甲,item_guardian_greaves,清莲宝珠,item_lotus_orb,洞察烟斗,item_pipe,阿哈利姆神杖,item_ultimate_scepter,玲珑心,item_octarine_core,邪恶镰刀,item_sheepstick
ch23,23,第23关 · 英雄遭遇,2,英雄,力丸,npc_dota_hero_riki,1,27,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；散魂剑；幻影斧；黑皇杖；深渊之刃；蝴蝶,item_swift_blink；item_disperser；item_manta；item_black_king_bar；item_abyssal_blade；item_butterfly,levels/ch23/enemies/2,迅疾闪光,item_swift_blink,散魂剑,item_disperser,幻影斧,item_manta,黑皇杖,item_black_king_bar,深渊之刃,item_abyssal_blade,蝴蝶,item_butterfly
ch23,23,第23关 · 英雄遭遇,3,英雄,主宰,npc_dota_hero_juggernaut,1,27,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；雷神之锤；幻影斧；深渊之刃；蝴蝶；撒旦之邪力,item_swift_blink；item_mjollnir；item_manta；item_abyssal_blade；item_butterfly；item_satanic,levels/ch23/enemies/3,迅疾闪光,item_swift_blink,雷神之锤,item_mjollnir,幻影斧,item_manta,深渊之刃,item_abyssal_blade,蝴蝶,item_butterfly,撒旦之邪力,item_satanic
ch23,23,第23关 · 英雄遭遇,4,英雄,斯温,npc_dota_hero_sven,1,27,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,盛势闪光；鱼叉；黑皇杖；代达罗斯之殇；撒旦之邪力；强袭胸甲,item_overwhelming_blink；item_harpoon；item_black_king_bar；item_greater_crit；item_satanic；item_assault,levels/ch23/enemies/4,盛势闪光,item_overwhelming_blink,鱼叉,item_harpoon,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,撒旦之邪力,item_satanic,强袭胸甲,item_assault
ch23,23,第23关 · 英雄遭遇,5,英雄,祸乱之源,npc_dota_hero_bane,1,27,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；玲珑心；阿哈利姆神杖；秘奥闪光；黑皇杖；微光披风,item_boots_of_bearing；item_octarine_core；item_ultimate_scepter；item_arcane_blink；item_black_king_bar；item_glimmer_cape,levels/ch23/enemies/5,宽容之靴,item_boots_of_bearing,玲珑心,item_octarine_core,阿哈利姆神杖,item_ultimate_scepter,秘奥闪光,item_arcane_blink,黑皇杖,item_black_king_bar,微光披风,item_glimmer_cape
ch23,23,第23关 · 英雄遭遇,6,英雄,沉默术士,npc_dota_hero_silencer,1,27,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；风之杖；微光披风；阿哈利姆神杖；刷新球；永恒之盘,item_boots_of_bearing；item_wind_waker；item_glimmer_cape；item_ultimate_scepter；item_refresher；item_aeon_disk,levels/ch23/enemies/6,宽容之靴,item_boots_of_bearing,风之杖,item_wind_waker,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,刷新球,item_refresher,永恒之盘,item_aeon_disk
ch24,24,第24关 · 英雄遭遇,1,英雄,不朽尸王,npc_dota_hero_undying,1,28,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,宽容之靴；秘奥闪光；微光披风；黑皇杖；玲珑心；阿哈利姆神杖,item_boots_of_bearing；item_arcane_blink；item_glimmer_cape；item_black_king_bar；item_octarine_core；item_ultimate_scepter,levels/ch24/enemies/1,宽容之靴,item_boots_of_bearing,秘奥闪光,item_arcane_blink,微光披风,item_glimmer_cape,黑皇杖,item_black_king_bar,玲珑心,item_octarine_core,阿哈利姆神杖,item_ultimate_scepter
ch24,24,第24关 · 英雄遭遇,2,英雄,莉娜,npc_dota_hero_lina,1,28,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,秘奥闪光；慧夜对剑；阿哈利姆神杖；黑皇杖；邪恶镰刀；希瓦的守护,item_arcane_blink；item_yasha_and_kaya；item_ultimate_scepter；item_black_king_bar；item_sheepstick；item_shivas_guard,levels/ch24/enemies/2,秘奥闪光,item_arcane_blink,慧夜对剑,item_yasha_and_kaya,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,邪恶镰刀,item_sheepstick,希瓦的守护,item_shivas_guard
ch24,24,第24关 · 英雄遭遇,3,英雄,剃刀,npc_dota_hero_razor,1,28,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；散夜对剑；黑皇杖；撒旦之邪力；蝴蝶；希瓦的守护,item_swift_blink；item_sange_and_yasha；item_black_king_bar；item_satanic；item_butterfly；item_shivas_guard,levels/ch24/enemies/3,迅疾闪光,item_swift_blink,散夜对剑,item_sange_and_yasha,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,蝴蝶,item_butterfly,希瓦的守护,item_shivas_guard
ch24,24,第24关 · 英雄遭遇,4,英雄,冥界亚龙,npc_dota_hero_viper,1,28,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；飓风长戟；幻影斧；黑皇杖；斯嘉蒂之眼；蝴蝶,item_swift_blink；item_hurricane_pike；item_manta；item_black_king_bar；item_skadi；item_butterfly,levels/ch24/enemies/4,迅疾闪光,item_swift_blink,飓风长戟,item_hurricane_pike,幻影斧,item_manta,黑皇杖,item_black_king_bar,斯嘉蒂之眼,item_skadi,蝴蝶,item_butterfly
ch24,24,第24关 · 英雄遭遇,5,英雄,树精卫士,npc_dota_hero_treant,1,28,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；秘奥闪光；风之杖；清莲宝珠；阿哈利姆神杖；刷新球,item_boots_of_bearing；item_arcane_blink；item_wind_waker；item_lotus_orb；item_ultimate_scepter；item_refresher,levels/ch24/enemies/5,宽容之靴,item_boots_of_bearing,秘奥闪光,item_arcane_blink,风之杖,item_wind_waker,清莲宝珠,item_lotus_orb,阿哈利姆神杖,item_ultimate_scepter,刷新球,item_refresher
ch24,24,第24关 · 英雄遭遇,6,英雄,魅惑魔女,npc_dota_hero_enchantress,1,28,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；飓风长戟；风之杖；清莲宝珠；阿哈利姆神杖；黑皇杖,item_boots_of_bearing；item_hurricane_pike；item_wind_waker；item_lotus_orb；item_ultimate_scepter；item_black_king_bar,levels/ch24/enemies/6,宽容之靴,item_boots_of_bearing,飓风长戟,item_hurricane_pike,风之杖,item_wind_waker,清莲宝珠,item_lotus_orb,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar
ch25,25,第25关 · 精英检查,1,英雄,斧王,npc_dota_hero_axe,1,28,aggro_front,前排近距攻击,elite,否,,,,,,,,,,,,,,,6,强袭胸甲；盛势闪光；刃甲；黑皇杖；恐鳌之心；希瓦的守护,item_assault；item_overwhelming_blink；item_blade_mail；item_black_king_bar；item_heart；item_shivas_guard,levels/ch25/enemies/1,强袭胸甲,item_assault,盛势闪光,item_overwhelming_blink,刃甲,item_blade_mail,黑皇杖,item_black_king_bar,恐鳌之心,item_heart,希瓦的守护,item_shivas_guard
ch25,25,第25关 · 精英检查,2,英雄,露娜,npc_dota_hero_luna,1,28,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；幻影斧；黑皇杖；蝴蝶；撒旦之邪力；代达罗斯之殇,item_swift_blink；item_manta；item_black_king_bar；item_butterfly；item_satanic；item_greater_crit,levels/ch25/enemies/2,迅疾闪光,item_swift_blink,幻影斧,item_manta,黑皇杖,item_black_king_bar,蝴蝶,item_butterfly,撒旦之邪力,item_satanic,代达罗斯之殇,item_greater_crit
ch25,25,第25关 · 精英检查,3,英雄,矮人直升机,npc_dota_hero_gyrocopter,1,28,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；阿哈利姆神杖；雷神之锤；黑皇杖；代达罗斯之殇；撒旦之邪力,item_swift_blink；item_ultimate_scepter；item_mjollnir；item_black_king_bar；item_greater_crit；item_satanic,levels/ch25/enemies/3,迅疾闪光,item_swift_blink,阿哈利姆神杖,item_ultimate_scepter,雷神之锤,item_mjollnir,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,撒旦之邪力,item_satanic
ch25,25,第25关 · 精英检查,4,英雄,血魔,npc_dota_hero_bloodseeker,1,28,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；雷神之锤；深渊之刃；黑皇杖；蝴蝶；撒旦之邪力,item_swift_blink；item_mjollnir；item_abyssal_blade；item_black_king_bar；item_butterfly；item_satanic,levels/ch25/enemies/4,迅疾闪光,item_swift_blink,雷神之锤,item_mjollnir,深渊之刃,item_abyssal_blade,黑皇杖,item_black_king_bar,蝴蝶,item_butterfly,撒旦之邪力,item_satanic
ch25,25,第25关 · 精英检查,5,英雄,食人魔魔法师,npc_dota_hero_ogre_magi,1,28,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；微光披风；玲珑心；风之杖；阿哈利姆神杖；邪恶镰刀,item_boots_of_bearing；item_glimmer_cape；item_octarine_core；item_wind_waker；item_ultimate_scepter；item_sheepstick,levels/ch25/enemies/5,宽容之靴,item_boots_of_bearing,微光披风,item_glimmer_cape,玲珑心,item_octarine_core,风之杖,item_wind_waker,阿哈利姆神杖,item_ultimate_scepter,邪恶镰刀,item_sheepstick
ch25,25,第25关 · 精英检查,6,英雄,龙骑士,npc_dota_hero_dragon_knight,1,28,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,盛势闪光；强袭胸甲；黑皇杖；撒旦之邪力；代达罗斯之殇；恐鳌之心,item_overwhelming_blink；item_assault；item_black_king_bar；item_satanic；item_greater_crit；item_heart,levels/ch25/enemies/6,盛势闪光,item_overwhelming_blink,强袭胸甲,item_assault,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,代达罗斯之殇,item_greater_crit,恐鳌之心,item_heart
ch25,25,第25关 · 精英检查,7,英雄,邪影芳灵,npc_dota_hero_dark_willow,1,28,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；风之杖；秘奥闪光；微光披风；阿哈利姆神杖；永恒之盘,item_boots_of_bearing；item_wind_waker；item_arcane_blink；item_glimmer_cape；item_ultimate_scepter；item_aeon_disk,levels/ch25/enemies/7,宽容之靴,item_boots_of_bearing,风之杖,item_wind_waker,秘奥闪光,item_arcane_blink,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,永恒之盘,item_aeon_disk
ch26,26,第26关 · 野怪讨伐,1,野怪,雷霆蜥蜴,npc_dota_neutral_big_thunder_lizard,2,30,simple_nearest,最近目标（野怪）,,否,standard,11,6,56,75,25,,,,,,,,,0,,,levels/ch26/enemies/1,,,,,,,,,,,,
ch26,26,第26关 · 野怪讨伐,2,野怪,寒冰萨满,npc_dota_neutral_ice_shaman,2,30,focus_lowest_hp,优先最低生命,,否,specialist,11,6,56,75,25,,,,,,,,,0,,,levels/ch26/enemies/2,,,,,,,,,,,,
ch26,26,第26关 · 野怪讨伐,3,野怪,花岗岩傀儡,npc_dota_neutral_granite_golem,2,30,aggro_front,前排近距攻击,,否,elite,11,6,56,75,25,,,,,,,,,0,,,levels/ch26/enemies/3,,,,,,,,,,,,
ch26,26,第26关 · 野怪讨伐,4,野怪,黑龙,npc_dota_neutral_black_dragon,1,30,focus_lowest_hp,优先最低生命,,否,beast,11,6,56,75,25,,,,,,,,,0,,,levels/ch26/enemies/4,,,,,,,,,,,,
ch26,26,第26关 · 野怪讨伐,5,野怪,霜害傀儡,npc_dota_neutral_frostbitten_golem,1,30,simple_nearest,最近目标（野怪）,,否,minion,11,6,56,75,25,,,,,,,,,0,,,levels/ch26/enemies/5,,,,,,,,,,,,
ch27,27,第27关 · 英雄遭遇,1,英雄,哈斯卡,npc_dota_hero_huskar,1,29,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,盛势闪光；天堂之戟；黑皇杖；阿哈利姆神杖；撒旦之邪力；强袭胸甲,item_overwhelming_blink；item_heavens_halberd；item_black_king_bar；item_ultimate_scepter；item_satanic；item_assault,levels/ch27/enemies/1,盛势闪光,item_overwhelming_blink,天堂之戟,item_heavens_halberd,黑皇杖,item_black_king_bar,阿哈利姆神杖,item_ultimate_scepter,撒旦之邪力,item_satanic,强袭胸甲,item_assault
ch27,27,第27关 · 英雄遭遇,2,英雄,斯拉克,npc_dota_hero_slark,1,29,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；散魂剑；阿哈利姆神杖；黑皇杖；斯嘉蒂之眼；蝴蝶,item_swift_blink；item_disperser；item_ultimate_scepter；item_black_king_bar；item_skadi；item_butterfly,levels/ch27/enemies/2,迅疾闪光,item_swift_blink,散魂剑,item_disperser,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,斯嘉蒂之眼,item_skadi,蝴蝶,item_butterfly
ch27,27,第27关 · 英雄遭遇,3,英雄,巨魔战将,npc_dota_hero_troll_warlord,1,29,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；散夜对剑；黑皇杖；撒旦之邪力；深渊之刃；蝴蝶,item_swift_blink；item_sange_and_yasha；item_black_king_bar；item_satanic；item_abyssal_blade；item_butterfly,levels/ch27/enemies/3,迅疾闪光,item_swift_blink,散夜对剑,item_sange_and_yasha,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,深渊之刃,item_abyssal_blade,蝴蝶,item_butterfly
ch27,27,第27关 · 英雄遭遇,4,英雄,熊战士,npc_dota_hero_ursa,1,29,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；深渊之刃；黑皇杖；撒旦之邪力；蝴蝶；否决坠饰,item_swift_blink；item_abyssal_blade；item_black_king_bar；item_satanic；item_butterfly；item_nullifier,levels/ch27/enemies/4,迅疾闪光,item_swift_blink,深渊之刃,item_abyssal_blade,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,蝴蝶,item_butterfly,否决坠饰,item_nullifier
ch27,27,第27关 · 英雄遭遇,5,英雄,水晶室女,npc_dota_hero_crystal_maiden,1,29,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；微光披风；秘奥闪光；黑皇杖；阿哈利姆神杖；邪恶镰刀,item_boots_of_bearing；item_glimmer_cape；item_arcane_blink；item_black_king_bar；item_ultimate_scepter；item_sheepstick,levels/ch27/enemies/5,宽容之靴,item_boots_of_bearing,微光披风,item_glimmer_cape,秘奥闪光,item_arcane_blink,黑皇杖,item_black_king_bar,阿哈利姆神杖,item_ultimate_scepter,邪恶镰刀,item_sheepstick
ch27,27,第27关 · 英雄遭遇,6,英雄,沙王,npc_dota_hero_sand_king,1,29,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,强袭胸甲；盛势闪光；阿哈利姆神杖；黑皇杖；希瓦的守护；玲珑心,item_assault；item_overwhelming_blink；item_ultimate_scepter；item_black_king_bar；item_shivas_guard；item_octarine_core,levels/ch27/enemies/6,强袭胸甲,item_assault,盛势闪光,item_overwhelming_blink,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,希瓦的守护,item_shivas_guard,玲珑心,item_octarine_core
ch27,27,第27关 · 英雄遭遇,7,英雄,巫医,npc_dota_hero_witch_doctor,1,29,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,宽容之靴；微光披风；阿哈利姆神杖；黑皇杖；玲珑心；邪恶镰刀,item_boots_of_bearing；item_glimmer_cape；item_ultimate_scepter；item_black_king_bar；item_octarine_core；item_sheepstick,levels/ch27/enemies/7,宽容之靴,item_boots_of_bearing,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,玲珑心,item_octarine_core,邪恶镰刀,item_sheepstick
ch28,28,第28关 · 英雄遭遇,1,英雄,半人马战行者,npc_dota_hero_centaur,1,29,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,强袭胸甲；盛势闪光；恐鳌之心；洞察烟斗；阿哈利姆神杖；黑皇杖,item_assault；item_overwhelming_blink；item_heart；item_pipe；item_ultimate_scepter；item_black_king_bar,levels/ch28/enemies/1,强袭胸甲,item_assault,盛势闪光,item_overwhelming_blink,恐鳌之心,item_heart,洞察烟斗,item_pipe,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar
ch28,28,第28关 · 英雄遭遇,2,英雄,敌法师,npc_dota_hero_antimage,1,29,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；幻影斧；深渊之刃；斯嘉蒂之眼；蝴蝶；血棘,item_swift_blink；item_manta；item_abyssal_blade；item_skadi；item_butterfly；item_bloodthorn,levels/ch28/enemies/2,迅疾闪光,item_swift_blink,幻影斧,item_manta,深渊之刃,item_abyssal_blade,斯嘉蒂之眼,item_skadi,蝴蝶,item_butterfly,血棘,item_bloodthorn
ch28,28,第28关 · 英雄遭遇,3,英雄,幻影长矛手,npc_dota_hero_phantom_lancer,1,29,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,迅疾闪光；散魂剑；阿哈利姆神杖；幻影斧；斯嘉蒂之眼；恐鳌之心,item_swift_blink；item_disperser；item_ultimate_scepter；item_manta；item_skadi；item_heart,levels/ch28/enemies/3,迅疾闪光,item_swift_blink,散魂剑,item_disperser,阿哈利姆神杖,item_ultimate_scepter,幻影斧,item_manta,斯嘉蒂之眼,item_skadi,恐鳌之心,item_heart
ch28,28,第28关 · 英雄遭遇,4,英雄,圣堂刺客,npc_dota_hero_templar_assassin,1,29,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,蝴蝶；黯灭；迅疾闪光；黑皇杖；代达罗斯之殇；飓风长戟,item_butterfly；item_desolator；item_swift_blink；item_black_king_bar；item_greater_crit；item_hurricane_pike,levels/ch28/enemies/4,蝴蝶,item_butterfly,黯灭,item_desolator,迅疾闪光,item_swift_blink,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,飓风长戟,item_hurricane_pike
ch28,28,第28关 · 英雄遭遇,5,英雄,神谕者,npc_dota_hero_oracle,1,29,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,卫士胫甲；微光披风；秘奥闪光；阿哈利姆神杖；永恒之盘；邪恶镰刀,item_guardian_greaves；item_glimmer_cape；item_arcane_blink；item_ultimate_scepter；item_aeon_disk；item_sheepstick,levels/ch28/enemies/5,卫士胫甲,item_guardian_greaves,微光披风,item_glimmer_cape,秘奥闪光,item_arcane_blink,阿哈利姆神杖,item_ultimate_scepter,永恒之盘,item_aeon_disk,邪恶镰刀,item_sheepstick
ch28,28,第28关 · 英雄遭遇,6,英雄,潮汐猎人,npc_dota_hero_tidehunter,1,29,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,盛势闪光；阿哈利姆神杖；洞察烟斗；希瓦的守护；刷新球；卫士胫甲,item_overwhelming_blink；item_ultimate_scepter；item_pipe；item_shivas_guard；item_refresher；item_guardian_greaves,levels/ch28/enemies/6,盛势闪光,item_overwhelming_blink,阿哈利姆神杖,item_ultimate_scepter,洞察烟斗,item_pipe,希瓦的守护,item_shivas_guard,刷新球,item_refresher,卫士胫甲,item_guardian_greaves
